label,sentences,document
0, thanks for sending us good vibes by using the various services available within viber ,Viber.txt
0, you may be surprised but we will refer to all such services including additional apps published by viber media s a r l and also third party services which are powered by viber s technology as the services ,Viber.txt
0, the terms of use lrb or the terms rrb presented below are the basic rights and obligations that you and us have between us when you use our services ,Viber.txt
0, the language of the terms will seem legal lrb basically because they are rrb but we still tried to make them as simple as possible for you to read so that we are sure that you knowingly choose to enjoy our services under these binding terms lrb which actually constitute a binding agreement between viber media s a r l and yourself rrb ,Viber.txt
1, when you use our services in addition to enjoying a world of good vibes you also agree to the terms and they affect your rights and obligations ,Viber.txt
0, you can choose not to enjoy the services if you do n t want these terms to apply lrb and by these terms we also mean our privacy policy cookies and tracking technologies policy dmca policy and other policies on our policies page which are incorporated herein rrb ,Viber.txt
0, no access to emergency services viber is not a replacement for your ordinary mobile or fixed line telephone and does not allow you to make emergency calls to emergency services ,Viber.txt
0, you must make alternative communication arrangements to ensure that you can make emergency calls if needed ,Viber.txt
0, some features of our services may be subject to additional terms and conditions which you should read before making use of those features and they add up to these terms ,Viber.txt
0, you understand that just like a regular mobile phone service anyone with knowledge of your phone number may call you or send you messages through our services and anyone you send a message to can use the content of your message as they desire ,Viber.txt
0, legal capacity children and minors ,Viber.txt
0, if you are under the age of consent in your country to form a binding agreement you should only use our service if you are either an emancipated minor or have the legal consent of your parent or guardian for your use of our service ,Viber.txt
0, you should use our service only if you are fully able to understand and enter into and comply with these terms ,Viber.txt
0, our services are not intended for children under 13 if you are under 13 please wait until you turn 13 to use them ,Viber.txt
1, we are always working on adding additional features to our services and because of that and also since sometimes applicable laws change we may revise and reissue these terms occasionally by posting updated terms at viber terms use ,Viber.txt
0, you consent and agree to receive notices of updates of these terms through our posting of updated terms on the services ,Viber.txt
0, you should visit this page regularly to review the current terms ,Viber.txt
0, if you do not agree to updated terms you should stop using our services and or close your account ,Viber.txt
1, your continued use of any of our services will be deemed as your acceptance of any revisions ,Viber.txt
0, the information you give us to use the service must be correct ,Viber.txt
0, to access the viber service or some of the features we offer in the viber service you will be asked to provide true and complete registration details ,Viber.txt
1, if we at viber believe the details are not correct current or complete we have the right prevent you from accessing our services or any of its resources and to terminate or suspend your account ,Viber.txt
0, your privacy is important to us ,Viber.txt
0, to better protect your privacy we provide notices explaining our information practices and the choices you can make about the way your information is collected and used at our services ,Viber.txt
0, click here to view our privacy policy ,Viber.txt
0, our services and materials incorporated by viber on our services lrb material rrb are protected by copyrights patents trade secrets or other proprietary rights lrb copyrights rrb ,Viber.txt
0, some of the characters logos or other images incorporated by viber in our services are also protected as registered or unregistered trademarks trade names and or service marks owned by viber or others lrb trademarks rrb ,Viber.txt
0, viber or its licensors own the title copyright and other intellectual property rights in the material and service and by using our services you do not acquire any ownership rights in service or materials contained therein ,Viber.txt
0, viber respects the intellectual property rights of others and asks users of our services to do the same ,Viber.txt
0, your use of our material ,Viber.txt
0, your right to make use of our service and any material or other content appearing on it is subject to your compliance with these terms ,Viber.txt
0, you may not modify or use the material or any other content on our services for any purpose not permitted by these terms ,Viber.txt
0, such prohibited use violates these terms and may be a violation of the copyrights and or trademarks protected by law ,Viber.txt
0, you may access and display material and all other content displayed on our services for non commercial personal entertainment use on any computer tablet smart watch or mobile device you own or control ,Viber.txt
0, the material and all other content on this service may not otherwise be copied reproduced republished uploaded posted transmitted distributed or used in any way unless specifically authorized by viber ,Viber.txt
0, also decompiling reverse engineering disassembling or otherwise reducing the code used in any software on this service into a readable form in order to examine the construction of such software and or to copy or create other products based lrb in whole or in part rrb on such software is prohibited ,Viber.txt
0, you may not rent lease lend sell redistribute or sublicense the material and or the services ,Viber.txt
0, call services premium services ,Viber.txt
0, as part of our service we offer you to call your friends who use viber through our service free of charge lrb calls use your data plan unless connected to wifi rrb ,Viber.txt
0, viber also offers you the opportunity to become a premium viber out user which allows you to call non viber users lrb landlines or mobiles rrb around the world at such rates as presented herein ,Viber.txt
0, in addition you are allowing certain incoming calls generated outside the viber network by your friends or other people calling your number to be received by your mobile device or desktop through the licensed application lrb hereinafter viber in rrb ,Viber.txt
0, viber in is provided to you for free and you may disable the viber in service at any time by changing the application settings ,Viber.txt
0, charges for viber out service and other products or features ,Viber.txt
0, 8 1 calling non viber phone numbers and premium rate numbers with viber credit ,Viber.txt
1, 8 1 1 the rates for calling landlines and mobile phones outside of the viber community consist of a per minute rate as set out on http account viber com ,Viber.txt
0, after a 4 hour call duration the call will be disconnected and require a re dial ,Viber.txt
1, 8 1 2 viber may change the rates for calling phones at any time without notice to you by posting such change at http account viber com ,Viber.txt
0, the new rate will apply to your next phone call after the new rates have been published ,Viber.txt
0, please check the latest rates before you make your call ,Viber.txt
0, if you do not accept the new rates do not make your call ,Viber.txt
0, 8 1 3 the duration of a call shall be based on one minute increments ,Viber.txt
0, fractions of minutes will be rounded up to the next minute ,Viber.txt
0, at the end of a call fractional cent charges will be rounded up or down to the nearest whole cent ,Viber.txt
0, for example a total call at a price of 0 034 will be rounded to 0 03 ,Viber.txt
0, during the call charges incurred will be deducted automatically from the viber credit balance in your user account ,Viber.txt
0, 8 2 the charges for other viber products or features will be confirmed to you before you complete a purchase from viber ,Viber.txt
1, viber may change the prices of such products at any time without any notice to you ,Viber.txt
0, you can choose whether or not to accept the new charges prior to completing your next purchase of the applicable product ,Viber.txt
0, the new prices will apply to your next purchase after the new prices have been published ,Viber.txt
0, 8 3 from time to time viber may offer products or features available at no charge for a trial period at viber s sole discretion including as to duration and scope of no charge offers ,Viber.txt
0, however viber reserves the right to charge you for such products lrb at the normal rate rrb in the event that viber determines lrb in its reasonable discretion rrb that you are abusing the terms of the offer including if you are using any service proxy or other device or anonymous ip address that prevents us from locating you ,Viber.txt
0, 8 4 viber may collect vat or other indirect taxes at the applicable rate for the particular country lrb as per applicable tax rules rrb at the time of purchase of viber credit or at the time you use the viber credit ,Viber.txt
0, 8 5 using the service on mobile applications will use some of the data allowance available on the data package to which you have subscribed with your mobile network operator as the case may be ,Viber.txt
0, out of country usage may in any event lead to significantly higher costs than regular usage and you are solely responsible for keeping yourself informed and paying for possible roaming and other applicable charges levied by your mobile network operator ,Viber.txt
0, you can find information about payments credits and refunds in our payments policy ,Viber.txt
0, 9 1 you can purchase credits lrb viber credit rrb using any payment method made available to you by viber from time to time ,Viber.txt
0, the viber credit that you purchase will be applied to your user account at the time of purchase ,Viber.txt
0, we will send you an acknowledgement of your order of viber credit lsb by email rsb ,Viber.txt
0, we use the services of third parties to process your payments and we require that these third parties take the appropriate organizational and technical measures to protect your personal data and traffic data and to comply with relevant laws ,Viber.txt
0, please review the terms of use and privacy policies of those third parties before providing your banking or payment information ,Viber.txt
0, you agree that you are not relying on the future availability of any feature or product offered through the service in agreeing to or making payments hereunder ,Viber.txt
0, you can change your payment method and billing information by logging into your viber account at http account viber com ,Viber.txt
0, you agree that viber may use information regarding your selected payment method provided by your issuing bank or applicable payment system ,Viber.txt
0, if you pay with foreign currency you agree that the amount you are eventually credited may vary as a result of foreign currency conversion policies of our third party payment processors which you can find at the relevant website or location where you make the actual purchase ,Viber.txt
0, 9 2 if you do not use your viber credit for a period of six months lrb including viber credit that has been allocated to you by a viber administrator rrb such credits will be frozen ,Viber.txt
0, you can reactivate the viber credit by accessing your viber out account on viber com and following the instructions therein ,Viber.txt
0, if your viber account is deactivated your viber credit will be lost ,Viber.txt
0, for this purpose viber account may be deactivated in any of the following lrb i rrb you actively deactivate your account ,Viber.txt
0, lrb ii rrb you remove viber from your mobile device and do not reinstall it within three months lrb iii rrb you do not log in to viber for twelve consecutive months ,Viber.txt
0, for japanese numbers lrb 81 rrb viber credit expires within 180 days of purchase with no ability to reactivate ,Viber.txt
0, 9 3 viber credit currently can be used only for viber out calls ,Viber.txt
0, the recurring charge feature will be automatically enabled when you buy viber credit through the viber website unless you uncheck the appropriate checkbox at the time of purchase ,Viber.txt
0, your viber credit balance will be recharged with the same amount and by the same payment method you initially designated when you registered your account every time your viber account balance goes below the threshold set by viber from time to time ,Viber.txt
0, you can disable the recurring charge feature at any time by accessing your user account ,Viber.txt
0, any charges mentioned in specific currencies are solely considered as examples and do not take currency fluctuations or discrepancies into account ,Viber.txt
