label,sentences
0,content license and intellectual property rights
0,reactivated skype credit is not refundable .
1,"spotify may change the price for the paid subscriptions , pre-paid period -lrb- for periods not yet paid for -rrb- , or codes from time to time , and will communicate any price changes to you in advance and , if applicable , how to accept those changes ."
0,the term of your licenses under this eula shall commence on the date that you accept this eula and install or otherwise use the software and/or services and ends on the earlier date of either your disposal of the software and/or services or rovio 's termination of this eula .
0,the arbitrator may award declaratory or injunctive relief only in favor of the claimant and only to the extent necessary to provide relief warranted by the claimant 's individual claim .
0,"responsible editor is mr. alan mamedi , appointed by true software scandinavia ab ."
0,the federal arbitration act governs the interpretation and enforcement of this dispute-resolution provision .
0,"if you do not want this charge , you must cancel the applicable paid subscription through your spotify account 's subscription page or terminate your spotify account before the end of the trial ."
0,"as a condition of use , you promise not to use the service for any purpose that is prohibited by these terms of use ."
0,"to the extent allowed under law , these changes may be effective upon notice provided to you ."
0,the app permits the purchase of virtual currency -lrb- `` virtual money '' -rrb- and use of that virtual money to purchase virtual items or services that we expressly make available for use in the app -lrb- `` virtual goods '' -rrb- .
0,"infringe any copyright , database right or trademark of any other person ;"
0,-lrb- ii -rrb- your violation of any law or the rights of a third party ; or
0,"11.3 members agree to cooperate with and assist airbnb in good faith , and to provide airbnb with such information and take such actions as may be reasonably requested by airbnb , in connection with any damage claims or other complaints or claims made by members relating to accommodations or any personal or other property located at an accommodation -lrb- including , without limitation , payment requests made under the airbnb host guarantee -rrb- , experiences , or co-host agreements ."
0,"you promise and agree that you are using the content for your own personal , non-commercial , entertainment use and that you will not redistribute or transfer the spotify service or the content ."
0,"by default , all subscriptions are set to automatically renew for the same period of time as the original subscription ."
0,"accordingly , some of the above limitations of sections 19 and 20 may not apply to you ."
0,"if user submissions infringe , or if you believe that user submissions infringe any of your rights -lrb- including intellectual property rights -rrb- or are unlawful , please contact us immediately by following our notice and takedown procedure ."
0,you may be able to adjust these automatic downloads through your device 's settings .
0,"13.3 you understand that any appropriate governmental agency , department and/or authority -lrb- `` tax authority '' -rrb- where your accommodation is located may require taxes to be collected from guests or hosts on listing fees , and to be remitted to the respective tax authority ."
0,if you intend to seek arbitration you must first send written notice to duolingo 's administration office of your intent to arbitrate -lrb- `` notice '' -rrb- .
1,"you understand and agree that we are not responsible or liable for the availability or accuracy of such third-party properties or the content , products or services made available through such properties ."
0,"you will be taken to the sign in page , where you can select `` forgot password '' to create a new password ."
0,"in entering into this release , you expressly waive any protections -lrb- whether statutory or otherwise -rrb- to the extent permitted by applicable law that would otherwise limit the coverage of this release to include only those claims which you may know or suspect to exist in your favor at the time of agreeing to this release ."
0,"mpeg la , l.l.c. requires this notice :"
0,you must agree to abide by all of the terms and conditions contained in this agreement in order to become or remain an authorized user of the service .
0,these terms of use were written in english -lrb- us -rrb- .
0,the aaa 's rules are available at www.adr.org or by calling the aaa at 1-800-778-7879 .
0,skype wifi is provided by one of skype 's wifi partners .
0,-lrb- d -rrb- use the software or cause the software -lrb- or any part of it -rrb- to be used within or to provide commercial products or services to third parties .
0,prohibition of class and representative actions and non-individualized relief
0,"if you are a resident of south korea : notwithstanding anything in these terms to the contrary , nothing in these terms limits your rights to bring an action against under armour in the local courts of your place of domicile ."
0,"`` supplier '' means the provider of accommodation -lrb- e.g. hotel , motel , apartment , bed & breakfast -rrb- , -lrb- theme -rrb- parks , attractions , museums , sightseeing tours , cruises , rail and coach tours , transfers , tour operators , insurances , and any other travel or related product or service as from time to time available for reservation on the platform ."
0,"this includes positive references to ana/mia , purging , or self-starving ."
0,"no waiver will be effective against the company unless made in writing , and no such waiver will be construed as a waiver in any other or subsequent instance ."
0,"these terms and conditions -lrb- `` terms '' -rrb- govern your access to and use of the skyscanner services and/or skyscanner platforms and , together with our privacy policy , constitute a legal agreement between you and skyscanner ."
1,onavo reserves the right to modify the terms and conditions of this agreement or its policies relating to the services at any time .
1,"viber will not be liable for any loss that you may incur as a result of someone else using your user account , either with or without your knowledge ."
0,"sections 4 , 6 and 7 of this contract ;"
0,"you agree not to challenge truecaller 's rights in , or otherwise attempt to assert any rights in , the services or any content provided by other users , except those rights explicitly granted under these terms ."
0,"if you believe that anything on the services infringes a copyright that you own or control , please fill out this form ."
0,you are solely responsible for your involvement with any athletes or individuals you interact with in connection with the services .
0,"• links to , references , or otherwise promotes commercial products or services , except as expressly authorized by spotify ;"
0,"if any provision of this agreement shall be held by a court of competent jurisdiction to be unlawful , void , or unenforceable , then in such jurisdiction that provision shall be deemed severable from these terms and shall not affect the validity and enforceability of the remaining provisions ."
0,the materials and all other content in this service are presented for the purpose of providing information regarding the viber services available in the united states and elsewhere .
0,the most recent version is the version that applies .
0,such incidents will not be considered a breach of this agreement .
0,"`` zynga corporate family '' refers to zynga 's subsidiaries , parent companies , joint ventures and other corporate entities under common ownership and/or any of their agents , consultants , employees , officers and directors ."
0,"however , we have the right , without payment to you or others , to serve ads near your content and information , and your social actions on sponsored content and company pages may be visible , as noted in the privacy policy ."
0,"microsoft and the names , logos , and icons of all microsoft products , software , and services may be either trademarks or registered trademarks of microsoft in the united states and/or other countries ."
1,"we reserve the right to remove content alleged to be infringing without prior notice , at our sole discretion , and without liability to you ."
0,please note that any payment for licenses for virtual goods or redemption of third party virtual currency is always final and non-refundable .
0,your use of the services and content
0,here 's some information about all the ways you can enjoy spotify .
1,"if you are a whatsapp user located in the united states or canada , our terms contain a binding arbitration provision , which states that , except if you opt out and except for certain types of disputes , whatsapp and you agree to resolve all disputes through binding individual arbitration , which means that you waive any right to have those disputes decided by a judge or jury , and that you waive your right to participate in class actions , class arbitrations , or representative actions ."
0,"you agree that you will not copy , transfer , or distribute outside the service any content that contains any linden content , in whole or in part or in modified or unmodified form , except as allowed by an applicable product policy or other policy , or that infringes or violates any intellectual property rights of linden lab , other content providers , or any third parties ."
0,"some software stores may charge you sales tax , depending on where you live ."
0,"rather , you and headspace elect to have claims and disputes resolved by arbitration ."
1,any violation by you of the terms of this section may result in immediate termination of your accounts without any refund or other compensation .
0,our inclusion of hyperlinks to such websites does not imply any endorsement of the material on such websites or any association with their operators .
0,"solicit , or attempt to solicit , personal information from other users of the service ;"
1,your continued use of the products constitutes your agreement to abide by the terms as changed .
0,"you may be surprised , but we will refer to all such services , including additional apps published by viber media s.a.r.l , and also third party services which are powered by viber 's technology , as the `` services '' ."
0,"if you wish to delete any of your user content from the service , then you may be able to do so using the permitted functionalities of the apps , but the removal or deletion of such user content will not terminate this eula ."
0,"you may also have the ability to purchase additional or enhanced functionality or media content within certain services -lrb- collectively , `` in-app purchases '' -rrb- ."
0,one of the ways that we may make ebay.com listings available to international buyers on ebay.com and on ebay 's international sites is through the global shipping program .
0,any personal information you post on the website will be used in accordance with our privacy policy .
0,"in addition , we are not responsible for the accuracy , availability , or reliability of any information , content , goods , data , opinions , advice , or statements made available in connection with social networking services ."
0,"notwithstanding any provision to the contrary herein , you agree that you have no right or title in or to any content that appears in the service , including without limitation the virtual goods or currency appearing or originating in any supercell game , whether earned in a game or purchased from supercell , or any other attributes associated with an account or stored on the service ."
0,"during the term of your license to your virtual money , you have the right to redeem your virtual money for selected virtual goods ."
0,"we do not use what you say in email , chat , video calls or voice mail , or your documents , photos or other personal files to target advertising to you ."
0,"you may not assign , delegate , or otherwise transfer your account or your obligations under these terms without our prior written consent ."
0,"for example , you can choose your settings so your name and photo do not appear in an ad ."
0,"-lrb- 1 -rrb- transmit or post any content or use any language , in writing or orally , which , in the sole and absolute discretion of blizzard entertainment , is deemed to be offensive , including without limitation content or language that is unlawful , harmful , threatening , abusive , harassing , defamatory , vulgar , obscene , hateful , sexually explicit , or racially , ethnically or otherwise objectionable , nor may you use a misspelling or an alternative spelling to circumvent the content and language restrictions listed above ;"
0,"if you use our self-service advertising creation interfaces for creation , submission and/or delivery of any advertising or other commercial or sponsored activity or content -lrb- collectively , the `` self-serve ad interfaces '' -rrb- , you agree to our self-serve ad terms ."
0,"scraping of any information contained in the services , including any content and any third party information accessible via the services , is strictly prohibited ."
0,"to opt out , you must notify us in writing postmarked within 30 days of the later of : -lrb- i -rrb- the date that you first accepted our terms ; and -lrb- ii -rrb- the date you became subject to this arbitration provision ."
0,"for any device that can connect to xbox services , we may automatically check your version of xbox console software or the xbox app software and download xbox console or xbox app software updates or configuration changes , including those that prevent you from accessing the xbox services , using unauthorized xbox games or xbox apps , or using unauthorized hardware peripheral devices with an xbox console ."
0,"the manner , mode and extent of such advertising and promotions are subject to change without specific notice to you ."
0,"in the event aaa declines or is unable to administer the arbitration , you and oculus agree to use an arbitration forum or arbitrator that you and oculus mutually agree upon ."
0,"if microsoft has identified a billing error , we will correct that error within 90 days ."
0,"you agree to this electronic means of communication and you acknowledge that all contracts , notices , information and other communications that we provide to you electronically comply with any legal requirement that such communications be in writing ."
0,• take any action that may undermine the feedback or ratings systems -lrb- see about our feedback policies -rrb- ;
0,version : 06.2017 -lrb- en-eu -rrb-
